Section,Dimension,Question ID,Sub-Question,Question Text,Data Type,Response Options,Unit,Impact Metric 1,Impact Metric 2,Impact Metric 3,Notes
EXECUTION,Processes,Q17,m,Waste/Scrap Rate,Numeric Input,,% of Materials/Production,,,,
EXECUTION,Processes,Q17,n,Average Process Lead Time,Numeric Input,,Days or Hours,,,,
EXECUTION,Processes,Q17,o,Opex at Risk from Inefficiencies,Currency or Numeric,,"Currency or % of Opex",Opex at Risk,,,Financial impact
EXECUTION,Processes,Q17,p,Productivity Time Lost to Process Issues,Numeric Input,,FTE Days per Year,Productivity Time at Risk,,,
EXECUTION,Processes,Q17,q,Revenue Impact from Operational Delays,Numeric Input,,% of Annual Revenue,,Revenue at Risk,,
EXECUTION,Processes,Q18,a,Process Compliance Failures (Past Year),Numeric Input,,Number,,,,
EXECUTION,Processes,Q18,b,Internal Audit Findings,Numeric Input,,Number,,,,
EXECUTION,Processes,Q18,c,Critical Control Failures,Numeric Input,,Number,,,,
EXECUTION,Processes,Q18,d,Time to Remediate Control Weaknesses,Numeric Input,,Days (Average),,,,
EXECUTION,Processes,Q18,e,Quality Certifications Held,Multi-Select,"ISO 9001, Six Sigma, Other, None",,,,,
EXECUTION,Processes,Q18,f,Last Quality Audit Date,Date Input,,Date,,,,
EXECUTION,Processes,Q18,g,Audit Pass Rate,Numeric Input,,%,,,,
EXECUTION,Processes,Q18,h,Customer Complaint Rate,Numeric Input,,"% of Transactions or per 1000 Units",,,,
EXECUTION,Processes,Q18,i,% Processes with Automated Controls,Numeric Input,,%,,,,
EXECUTION,Processes,Q18,j,% Critical Processes Monitored Real-Time,Numeric Input,,%,,,,
EXECUTION,Processes,Q18,k,Process Exceptions Requiring Manual Intervention,Numeric Input,,Number per Day/Month,,,,
EXECUTION,Processes,Q18,l,Regulatory Fines at Risk,Currency + Numeric,,"Currency Amount",Regulatory Fines at Risk,,,Financial impact
EXECUTION,Processes,Q18,m,Remediation Costs,Currency + Numeric,,"Currency Amount",,Opex at Risk,,
EXECUTION,Processes,Q18,n,Reputation Impact Level,Scale 1-5,1-5 scale,,Reputation at Risk,,,
EXECUTION,Processes,Q19,a,% Processes Fully Automated,Numeric Input,,%,,,,
EXECUTION,Processes,Q19,b,% Processes Partially Automated,Numeric Input,,%,,,,
EXECUTION,Processes,Q19,c,% Processes Fully Manual,Numeric Input,,%,,,,
EXECUTION,Processes,Q19,d,RPA Bots Deployed,Numeric Input,,Number,,,,
EXECUTION,Processes,Q19,e,Processes Targeted for Automation (Next 12 Mo),Numeric Input,,Number,,,,
EXECUTION,Processes,Q19,f,Digital Maturity Score,Numeric Input,,"/100 or 1-5 scale",,,,
EXECUTION,Processes,Q19,g,% Transactions Digital End-to-End,Numeric Input,,%,,,,
EXECUTION,Processes,Q19,h,Paper-Based Processes Remaining,Numeric Input,,Number,,,,
EXECUTION,Processes,Q19,i,Average Manual Processing Time per Transaction,Numeric Input,,Minutes,,,,
EXECUTION,Processes,Q19,j,Annual Investment in Automation,Currency + Numeric,,"Currency Amount",,,,
EXECUTION,Processes,Q19,k,FTE Hours Saved Through Automation (Annual),Numeric Input,,Hours,,,,
EXECUTION,Processes,Q19,l,Error Rate - Manual,Numeric Input,,%,,,,
EXECUTION,Processes,Q19,m,Error Rate - Automated,Numeric Input,,%,,,,
EXECUTION,Processes,Q19,n,Productivity Time on Manual Work,Numeric Input,,FTE Days per Year,Productivity Time at Risk,,,Financial impact
EXECUTION,Processes,Q19,o,Opex Impact of Manual Processes,Currency + Numeric,,"Currency Amount",,Opex at Risk,,
EXECUTION,Processes,Q19,p,Error/Rework Costs from Manual Processes,Currency + Numeric,,"Currency per Year",,,,
EXECUTION,Change,Q20,a,Major Change Initiatives (Past 2 Years),Numeric Input,,Number,,,,
EXECUTION,Change,Q20,b,Changes Completed Successfully,Numeric Input,,Number,,,,
EXECUTION,Change,Q20,c,Changes Failed or Abandoned,Numeric Input,,Number,,,,
EXECUTION,Change,Q20,d,Change Success Rate,Numeric Input,,%,,,,"Calculated from a,b,c"
EXECUTION,Change,Q20,e,Average Time to Complete Major Changes,Numeric Input,,Months,,,,
EXECUTION,Change,Q20,f,Total Investment in Changes (Past Year),Currency + Numeric,,"Currency Amount",,,,
EXECUTION,Change,Q20,g,Realized Benefits from Completed Changes,Currency or Numeric,,"Currency or % of Investment",,,,
EXECUTION,Change,Q20,h,Changes Over Budget,Numeric Input,,Number,,,,
EXECUTION,Change,Q20,i,Average Budget Overrun,Numeric Input,,%,,,,
EXECUTION,Change,Q20,j,Changes Delayed,Numeric Input,,Number,,,,
EXECUTION,Change,Q20,k,Average Delay,Numeric Input,,Months,,,,
EXECUTION,Change,Q20,l,Change Readiness Score,Numeric Input or Scale,"/100 or 1-5 scale",,,,,"If assessed, otherwise use scale"
EXECUTION,Change,Q20,m,Stratex at Risk from Change Failures,Currency or Numeric,,"% or Currency",Stratex at Risk,,,Financial impact
EXECUTION,Change,Q20,n,Productivity Time Lost to Failed Changes,Numeric Input,,FTE Days,Productivity Time at Risk,,,
EXECUTION,Change,Q20,o,Opportunity Cost from Delayed Benefits,Currency + Numeric,,"Currency Amount",,,,
EXECUTION,Change,Q21,a,Concurrent Major Changes,Numeric Input,,Number,,,,
EXECUTION,Change,Q21,b,Employees Affected by Change (Past Year),Numeric Input,,"Number or % of Workforce",,,,
EXECUTION,Change,Q21,c,Average Changes per Employee (Past Year),Numeric Input,,Number,,,,
EXECUTION,Change,Q21,d,% Workweek Spent on Change Activities,Numeric Input,,%,,,,
EXECUTION,Change,Q21,e,Employee Engagement During Change,Numeric Input,,%,,,,
EXECUTION,Change,Q21,f,Resistance to Change Incidents,Numeric Input,,Number,,,,
EXECUTION,Change,Q21,g,Turnover Rate During Major Changes,Numeric Input,,%,,,,
EXECUTION,Change,Q21,h,Baseline Turnover Rate (Non-Change),Numeric Input,,%,,,,For comparison
EXECUTION,Change,Q21,i,% Employees Reporting Change Fatigue,Numeric Input,,%,,,,"If surveyed, otherwise N/A"
EXECUTION,Change,Q21,j,Overlapping/Conflicting Initiatives,Numeric Input,,Number,,,,
EXECUTION,Change,Q21,k,Change Governance Effectiveness,Scale 1-5,1-5 scale,,,,,"Qualitative assessment"
EXECUTION,Change,Q21,l,% Changes with Clear Business Case,Numeric Input,,%,,,,
EXECUTION,Change,Q21,m,Stratex at Risk from Change Fatigue,Numeric Input,,% of Total Change Investment,Stratex at Risk,,,Financial impact
EXECUTION,Change,Q21,n,Productivity Time Lost to Change Overload,Numeric Input,,FTE Days,Productivity Time at Risk,,,
EXECUTION,Change,Q21,o,Employee Turnover Cost from Change Fatigue,Currency + Numeric,,"Currency Amount",,,,
EXECUTION,Change,Q22,a,New Regulations Affecting Business (Past Year),Numeric Input,,Number,,,,
EXECUTION,Change,Q22,b,Average Time to Comply with New Regulations,Numeric Input,,Months,,,,
EXECUTION,Change,Q22,c,Compliance Deadlines Missed,Numeric Input,,Number,,,,
EXECUTION,Change,Q22,d,Cost of Regulatory Adaptation (Past Year),Currency + Numeric,,"Currency Amount",,,,
EXECUTION,Change,Q22,e,Time to Respond to Competitor Moves,Numeric Input,,Months,,,,
EXECUTION,Change,Q22,f,% Revenue from Products Adapted to Market,Numeric Input,,%,,,,
EXECUTION,Change,Q22,g,Market-Driven Pivots (Past 2 Years),Numeric Input,,Number,,,,
EXECUTION,Change,Q22,h,Success Rate of Market Adaptations,Numeric Input,,%,,,,
EXECUTION,Change,Q22,i,Upcoming Regulatory Changes Identified,Numeric Input,,Number,,,,
EXECUTION,Change,Q22,j,Estimated Cost to Comply (Upcoming),Currency + Numeric,,"Currency Amount",,,,
EXECUTION,Change,Q22,k,Current Regulatory Compliance Rate,Numeric Input,,%,,,,
EXECUTION,Change,Q22,l,Regulatory Fines at Risk,Currency + Numeric,,"Currency Amount",Regulatory Fines at Risk,,,Financial impact
EXECUTION,Change,Q22,m,Revenue at Risk from Slow Market Response,Numeric Input,,% of Annual Revenue,,Revenue at Risk,,
EXECUTION,Change,Q22,n,Market Share Loss Potential,Numeric Input,,Percentage Points,,Market Share at Risk,,
EXECUTION,Innovation,Q23,a,Annual R&D Budget,Currency + Numeric,,"Currency Amount",,,,
EXECUTION,Innovation,Q23,b,R&D as % of Revenue,Numeric Input,,%,,,,
EXECUTION,Innovation,Q23,c,R&D Projects in Pipeline,Numeric Input,,Number,,,,
EXECUTION,Innovation,Q23,d,R&D Employees/FTEs,Numeric Input,,Number,,,,
EXECUTION,Innovation,Q23,e,New Products/Services Launched (Past Year),Numeric Input,,Number,,,,
EXECUTION,Innovation,Q23,f,Success Rate of New Launches,Numeric Input,,%,,,,
EXECUTION,Innovation,Q23,g,Revenue from Products <3 Years Old,Numeric Input,,% of Total Revenue,,,,
EXECUTION,Innovation,Q23,h,Patents Filed (Past Year),Numeric Input,,Number,,,,
EXECUTION,Innovation,Q23,i,Patents Granted (Past Year),Numeric Input,,Number,,,,
EXECUTION,Innovation,Q23,j,Patent Portfolio Value,Currency + Numeric,,"Currency Amount",,,,"If assessed, otherwise N/A"
EXECUTION,Innovation,Q23,k,Average Time from Concept to Launch,Numeric Input,,Months,,,,
EXECUTION,Innovation,Q23,l,R&D Project Success Rate,Numeric Input,,%,,,,
EXECUTION,Innovation,Q23,m,ROI on R&D Investments,Numeric Input,,% or Ratio,,,,
EXECUTION,Innovation,Q23,n,% R&D Budget - Breakthrough vs Incremental,Numeric Input,,"% Breakthrough, % Incremental",,,,
EXECUTION,Innovation,Q23,o,Stratex at Risk if R&D Fails,Currency or Numeric,,"% or Currency",Stratex at Risk,,,Financial impact
EXECUTION,Innovation,Q23,p,Revenue Growth at Risk,Numeric Input,,% of Projected Growth,,,,
EXECUTION,Innovation,Q23,q,Market Share at Risk from Innovation Failures,Numeric Input,,Percentage Points,,Market Share at Risk,,
EXECUTION,Innovation,Q24,a,Average Product Development Cycle Time,Numeric Input,,Months,,,,
EXECUTION,Innovation,Q24,b,Industry Average Development Cycle,Numeric Input,,Months,,,,For comparison
EXECUTION,Innovation,Q24,c,% Faster/Slower than Competitors,Numeric Input,,+/- %,,,,
EXECUTION,Innovation,Q24,d,Products Launched Late (Past Year),Numeric Input,,Number,,,,
EXECUTION,Innovation,Q24,e,Average Launch Delay,Numeric Input,,Months,,,,
EXECUTION,Innovation,Q24,f,Innovation Ranking vs Competitors,Multiple Choice,"#1, Top 3, Mid-tier, Lagging",,,,,
EXECUTION,Innovation,Q24,g,Times First-to-Market (Past 2 Years),Numeric Input,,Number,,,,
EXECUTION,Innovation,Q24,h,Times Beaten to Market by Competitors,Numeric Input,,Number,,,,
EXECUTION,Innovation,Q24,i,% Projects Using Agile Methods,Numeric Input,,%,,,,
EXECUTION,Innovation,Q24,j,Average Sprint/Iteration Length,Numeric Input,,Weeks,,,,
EXECUTION,Innovation,Q24,k,Deployment Frequency,Multiple Choice,"Per Day, Per Week, Per Month, Per Quarter",,,,,
EXECUTION,Innovation,Q24,l,Revenue Opportunity Lost from Slow Innovation,Currency + Numeric,,"Currency Amount",,Revenue at Risk,,Financial impact
EXECUTION,Innovation,Q24,m,Market Share Lost to Faster Competitors,Numeric Input,,Percentage Points,,Market Share at Risk,,
EXECUTION,Innovation,Q24,n,Competitive Position Impact,Scale 1-5,1-5 scale,,,,,"Qualitative impact"
EXECUTION,Innovation,Q25,a,Total Innovation Budget (R&D + Stratex),Currency + Numeric,,"Currency Amount",,,,
EXECUTION,Innovation,Q25,b,Innovation Budget as % of Revenue,Numeric Input,,%,,,,
EXECUTION,Innovation,Q25,c,Innovation Investment Trend YoY,Numeric Input,,+/- %,,,,
EXECUTION,Innovation,Q25,d,% Innovation Budget - New vs Existing,Numeric Input,,"% New, % Existing",,,,
EXECUTION,Innovation,Q25,e,Dedicated Innovation Staff,Numeric Input,,"Number or % of Workforce",,,,
EXECUTION,Innovation,Q25,f,Innovation Labs/Centers,Numeric Input,,Number,,,,
EXECUTION,Innovation,Q25,g,University/Research Partnerships,Numeric Input,,Number,,,,
EXECUTION,Innovation,Q25,h,External Innovation Investment (VC/Accelerators),Currency + Numeric,,"Currency Amount",,,,
EXECUTION,Innovation,Q25,i,% Employees Involved in Innovation,Numeric Input,,%,,,,
EXECUTION,Innovation,Q25,j,Employee Innovation Ideas Submitted (Past Year),Numeric Input,,Number,,,,
EXECUTION,Innovation,Q25,k,% Ideas Implemented,Numeric Input,,%,,,,
EXECUTION,Innovation,Q25,l,Stratex at Risk from Underfunding,Currency + Numeric,,"Currency Amount",Stratex at Risk,,,Financial impact
EXECUTION,Innovation,Q25,m,Future Revenue at Risk (3-Year Outlook),Numeric Input,,% of Projected Revenue,,Revenue at Risk,,
EXECUTION,Innovation,Q25,n,Competitive Viability Rating,Scale 1-5,1-5 scale,,,,,"Qualitative assessment"
EXECUTION,Products & Services,Q26,a,Defect Rate,Numeric Input,,"% or Defects per Million",,,,
EXECUTION,Products & Services,Q26,b,Return/Refund Rate,Numeric Input,,%,,,,
EXECUTION,Products & Services,Q26,c,Warranty Claim Rate,Numeric Input,,%,,,,
EXECUTION,Products & Services,Q26,d,Product Recalls (Past 3 Years),Numeric Input,,Number,,,,
EXECUTION,Products & Services,Q26,e,Cost of Quality Issues (Past Year),Currency + Numeric,,"Currency Amount",,,,
EXECUTION,Products & Services,Q26,f,Customer Satisfaction (CSAT) Score,Numeric Input,,"% or /10",,,,
EXECUTION,Products & Services,Q26,g,Product/Service NPS,Numeric Input,,Score (-100 to +100),,,,
EXECUTION,Products & Services,Q26,h,Customer Complaint Rate,Numeric Input,,Per 1000 Customers/Transactions,,,,
EXECUTION,Products & Services,Q26,i,First-Call Resolution Rate,Numeric Input,,%,,,,
EXECUTION,Products & Services,Q26,j,Average Resolution Time,Numeric Input,,Hours or Days,,,,
EXECUTION,Products & Services,Q26,k,SLA Compliance,Numeric Input,,%,,,,For services
EXECUTION,Products & Services,Q26,l,Uptime/Availability,Numeric Input,,%,,,,For services
EXECUTION,Products & Services,Q26,m,Average Response Time,Numeric Input,,Hours,,,,
EXECUTION,Products & Services,Q26,n,Mean Time Between Failures (MTBF),Numeric Input,,Hours or Days,,,,
EXECUTION,Products & Services,Q26,o,Revenue at Risk from Quality Issues,Currency or Numeric,,"Currency or %",Revenue at Risk,,,Financial impact
EXECUTION,Products & Services,Q26,p,Product Recall/Warranty Costs Potential,Currency + Numeric,,"Currency Amount",,,,
EXECUTION,Products & Services,Q26,q,Reputation Impact Level,Scale 1-5,1-5 scale,,Reputation at Risk,,,
EXECUTION,Products & Services,Q26,r,Customer Churn Risk from Quality,Numeric Input,,% of Customer Base,,,,
EXECUTION,Products & Services,Q27,a,Total Number of Products/Services,Numeric Input,,Number,,,,
EXECUTION,Products & Services,Q27,b,Core Products (>1% Revenue Each),Numeric Input,,Number,,,,
EXECUTION,Products & Services,Q27,c,Revenue from Largest Product/Service,Numeric Input,,% of Total Revenue,,,,
EXECUTION,Products & Services,Q27,d,Revenue from Top 3 Products/Services,Numeric Input,,% of Total Revenue,,,,
EXECUTION,Products & Services,Q27,e,Revenue from Top 10 Products/Services,Numeric Input,,% of Total Revenue,,,,
EXECUTION,Products & Services,Q27,f,% Portfolio Profitable,Numeric Input,,%,,,,
EXECUTION,Products & Services,Q27,g,% Portfolio in Growth Stage,Numeric Input,,%,,,,
EXECUTION,Products & Services,Q27,h,% Portfolio in Decline Stage,Numeric Input,,%,,,,
EXECUTION,Products & Services,Q27,i,Average Age of Products,Numeric Input,,Years,,,,
EXECUTION,Products & Services,Q27,j,Revenue from Largest Customer,Numeric Input,,% of Total Revenue,,,,
EXECUTION,Products & Services,Q27,k,Revenue from Top 10 Customers,Numeric Input,,% of Total Revenue,,,,
EXECUTION,Products & Services,Q27,l,Customers Accounting for 80% Revenue,Numeric Input,,Number,,,,
EXECUTION,Products & Services,Q27,m,Revenue at Risk if Top Product Fails,Currency or Numeric,,"Currency or %",Revenue at Risk,,,Financial impact
EXECUTION,Products & Services,Q27,n,Market Share Vulnerable,Numeric Input,,Percentage Points,,Market Share at Risk,,
EXECUTION,Products & Services,Q27,o,Enterprise Value at Risk from Concentration,Numeric Input,,% of Valuation,,Enterprise Value at Risk,,
EXECUTION,Products & Services,Q28,a,% Revenue from Products <1 Year Old,Numeric Input,,%,,,,
EXECUTION,Products & Services,Q28,b,% Revenue from Products 1-3 Years Old,Numeric Input,,%,,,,
EXECUTION,Products & Services,Q28,c,% Revenue from Products 3-5 Years Old,Numeric Input,,%,,,,
EXECUTION,Products & Services,Q28,d,% Revenue from Products >5 Years Old,Numeric Input,,%,,,,
EXECUTION,Products & Services,Q28,e,Average Product Refresh Cycle,Numeric Input,,Years,,,,
EXECUTION,Products & Services,Q28,f,% Products Rated Market-Leading,Numeric Input,,%,,,,
EXECUTION,Products & Services,Q28,g,% Products at Competitive Parity,Numeric Input,,%,,,,
EXECUTION,Products & Services,Q28,h,% Products Lagging Competitors,Numeric Input,,%,,,,
EXECUTION,Products & Services,Q28,i,Products Discontinued (Past Year),Numeric Input,,Number,,,,
EXECUTION,Products & Services,Q28,j,New Products to Launch (Next Year),Numeric Input,,Number,,,,
EXECUTION,Products & Services,Q28,k,% Products Using Current Technology,Numeric Input,,%,,,,
EXECUTION,Products & Services,Q28,l,% Products on Legacy/Outdated Technology,Numeric Input,,%,,,,
EXECUTION,Products & Services,Q28,m,Investment Required to Refresh Portfolio,Currency + Numeric,,"Currency Amount",,,,
EXECUTION,Products & Services,Q28,n,Revenue at Risk from Obsolescence,Numeric Input,,% of Annual Revenue,Revenue at Risk,,,Financial impact
EXECUTION,Products & Services,Q28,o,Market Share at Risk,Numeric Input,,Percentage Points,,Market Share at Risk,,
EXECUTION,Products & Services,Q28,p,Stratex Required for Product Refresh,Currency + Numeric,,"Currency Amount",,Stratex at Risk,,
VALUE,Annual Results,Q29,a,Revenue Last Fiscal Year,Currency + Numeric,,"Currency Amount",,,,
VALUE,Annual Results,Q29,b,Revenue Year Before,Currency + Numeric,,"Currency Amount",,,,For YoY calculation
VALUE,Annual Results,Q29,c,YoY Revenue Growth,Numeric Input,,+/- %,,,,"Calculated or entered"
VALUE,Annual Results,Q29,d,Revenue Target Current Year,Currency + Numeric,,"Currency Amount",,,,
VALUE,Annual Results,Q29,e,YTD Revenue vs Target,Numeric Input,,% of Target,,,,
VALUE,Annual Results,Q29,f,Months Remaining in Fiscal Year,Numeric Input,,Months,,,,
VALUE,Annual Results,Q29,g,% Revenue Recurring/Contracted,Numeric Input,,%,,,,
VALUE,Annual Results,Q29,h,% Revenue At-Risk (Month-to-Month),Numeric Input,,%,,,,
VALUE,Annual Results,Q29,i,Average Contract Length,Numeric Input,,Months,,,,
VALUE,Annual Results,Q29,j,Revenue Retention Rate (Net),Numeric Input,,%,,,,
VALUE,Annual Results,Q29,k,Revenue Churn Rate,Numeric Input,,%,,,,
VALUE,Annual Results,Q29,l,New Customer Revenue,Currency or Numeric,,"Currency or % of Total",,,,
VALUE,Annual Results,Q29,m,Expansion Revenue (Existing Customers),Currency or Numeric,,"Currency or % of Total",,,,
VALUE,Annual Results,Q29,n,Revenue Lost to Churn,Currency or Numeric,,"Currency or % of Total",,,,
VALUE,Annual Results,Q29,o,Average Revenue per Customer,Currency + Numeric,,"Currency Amount",,,,
VALUE,Annual Results,Q29,p,Revenue at Risk if Trends Continue,Currency or Numeric,,"Currency or %",Revenue at Risk,,,Financial impact
VALUE,Annual Results,Q29,q,Enterprise Value Impact from Revenue Miss,Numeric Input,,% of Valuation,,Enterprise Value at Risk,,
VALUE,Annual Results,Q29,r,Funding/Investment at Risk,Currency + Numeric,,"Currency Amount",,,,
VALUE,Annual Results,Q30,a,Gross Margin,Numeric Input,,%,,,,
VALUE,Annual Results,Q30,b,EBITDA Margin,Numeric Input,,%,,,,
VALUE,Annual Results,Q30,c,Operating Margin,Numeric Input,,%,,,,
VALUE,Annual Results,Q30,d,Net Margin,Numeric Input,,%,,,,
VALUE,Annual Results,Q30,e,Margin Trend YoY,Multiple Choice,"Improving, Stable, Declining",,,,,
VALUE,Annual Results,Q30,f,Margin Change YoY,Numeric Input,,+/- %,,,,"If declining/improving, by how much"
VALUE,Annual Results,Q30,g,COGS as % of Revenue,Numeric Input,,%,,,,
VALUE,Annual Results,Q30,h,COGS Trend YoY,Numeric Input,,+/- %,,,,
VALUE,Annual Results,Q30,i,Operating Expenses as % of Revenue,Numeric Input,,%,,,,
VALUE,Annual Results,Q30,j,Average Price Increase/Decrease (Past Year),Numeric Input,,+/- %,,,,
VALUE,Annual Results,Q30,k,Contribution Margin per Unit/Customer,Currency + Numeric,,"Currency Amount",,,,
VALUE,Annual Results,Q30,l,Target EBITDA Margin,Numeric Input,,%,,,,
VALUE,Annual Results,Q30,m,Actual vs Target EBITDA Margin,Numeric Input,,Percentage Point Difference,,,,
VALUE,Annual Results,Q30,n,Break-Even Revenue Level,Currency + Numeric,,"Currency Amount",,,,
VALUE,Annual Results,Q30,o,Current Revenue vs Break-Even,Numeric Input,,% Above/Below,,,,
VALUE,Annual Results,Q30,p,EBITDA at Risk from Margin Pressure,Currency + Numeric,,"Currency Amount",EBITDA at Risk,,,Financial impact
VALUE,Annual Results,Q30,q,Opex Reduction Required to Maintain Margins,Currency or Numeric,,"% or Currency",,Opex at Risk,,
VALUE,Annual Results,Q30,r,Enterprise Value Impact,Numeric Input,,% of Valuation,,Enterprise Value at Risk,,
VALUE,Annual Results,Q31,a,Cash and Cash Equivalents,Currency + Numeric,,"Currency Amount",,,,
VALUE,Annual Results,Q31,b,Operating Cash Flow (Last 12 Months),Currency + Numeric,,"Currency Amount",,,,
VALUE,Annual Results,Q31,c,Free Cash Flow (Last 12 Months),Currency + Numeric,,"Currency Amount",,,,
VALUE,Annual Results,Q31,d,Monthly Cash Burn Rate,Currency + Numeric,,"Currency Amount",,,,"If negative cash flow"
VALUE,Annual Results,Q31,e,Runway (Months of Cash),Numeric Input,,Months,,,,"At current burn rate"
VALUE,Annual Results,Q31,f,Working Capital,Currency + Numeric,,"Currency Amount",,,,
VALUE,Annual Results,Q31,g,Working Capital Ratio,Numeric Input,,Ratio,,,,
VALUE,Annual Results,Q31,h,Days Sales Outstanding (DSO),Numeric Input,,Days,,,,
VALUE,Annual Results,Q31,i,Days Payable Outstanding (DPO),Numeric Input,,Days,,,,
VALUE,Annual Results,Q31,j,Days Inventory Outstanding (DIO),Numeric Input,,Days,,,,"If applicable"
VALUE,Annual Results,Q31,k,Cash Conversion Cycle,Numeric Input,,Days,,,,
VALUE,Annual Results,Q31,l,Current Ratio,Numeric Input,,Ratio,,,,
VALUE,Annual Results,Q31,m,Quick Ratio,Numeric Input,,Ratio,,,,
VALUE,Annual Results,Q31,n,Available Credit Lines,Currency + Numeric,,"Currency Amount",,,,
VALUE,Annual Results,Q31,o,Drawn Credit,Currency + Numeric,,"Currency Amount",,,,
VALUE,Annual Results,Q31,p,Unused Credit Capacity,Currency + Numeric,,"Currency Amount",,,,
VALUE,Annual Results,Q31,q,Operating Cash at Risk,Currency + Numeric,,"Currency Amount",Operating Cash at Risk,,,Financial impact
VALUE,Annual Results,Q31,r,Capex/Stratex Cuts if Cash Constrained,Currency or Numeric,,"% or Currency",,Capex/Stratex at Risk,,
VALUE,Annual Results,Q31,s,Enterprise Viability Impact,Scale 1-5,1-5 scale,,,,,"Qualitative impact"
VALUE,Strategic Goals,Q32,a,Strategic Initiatives in Plan,Numeric Input,,Number,,,,
VALUE,Strategic Goals,Q32,b,Initiatives On Track,Numeric Input,,Number,,,,
VALUE,Strategic Goals,Q32,c,Initiatives At Risk,Numeric Input,,Number,,,,
VALUE,Strategic Goals,Q32,d,Initiatives Behind Schedule,Numeric Input,,Number,,,,
VALUE,Strategic Goals,Q32,e,Initiatives Cancelled/Failed,Numeric Input,,Number,,,,
VALUE,Strategic Goals,Q32,f,Overall On-Track Percentage,Numeric Input,,%,,,,"Calculated or entered"
VALUE,Strategic Goals,Q32,g,Major Milestones in Strategic Plan,Numeric Input,,Number,,,,
VALUE,Strategic Goals,Q32,h,Milestones Achieved On Time,Numeric Input,,Number,,,,
VALUE,Strategic Goals,Q32,i,Milestones Delayed,Numeric Input,,Number,,,,
VALUE,Strategic Goals,Q32,j,Average Delay for Missed Milestones,Numeric Input,,Months,,,,
VALUE,Strategic Goals,Q32,k,Total Strategic Investment (Past Year),Currency + Numeric,,"Currency Amount",,,,
VALUE,Strategic Goals,Q32,l,Planned ROI on Strategic Investments,Numeric Input,,% or Ratio,,,,
VALUE,Strategic Goals,Q32,m,Actual ROI Realized to Date,Numeric Input,,% or Ratio,,,,
VALUE,Strategic Goals,Q32,n,% Strategic Budget Consumed,Numeric Input,,%,,,,
VALUE,Strategic Goals,Q32,o,% Expected Benefits Realized,Numeric Input,,%,,,,
VALUE,Strategic Goals,Q32,p,Stratex at Risk from Execution Failures,Currency or Numeric,,"% or Currency",Stratex at Risk,,,Financial impact
VALUE,Strategic Goals,Q32,q,Future Revenue at Risk (3-5 Year Plan),Currency or Numeric,,"% or Currency",,Revenue at Risk,,
VALUE,Strategic Goals,Q32,r,Market Position Impact,Scale 1-5,1-5 scale,,,,,"Qualitative impact"
VALUE,Strategic Goals,Q33,a,Current Market Share,Numeric Input,,%,,,,
VALUE,Strategic Goals,Q33,b,Market Share 2 Years Ago,Numeric Input,,%,,,,For trend
VALUE,Strategic Goals,Q33,c,Market Share Change,Numeric Input,,+/- Percentage Points,,,,"Calculated or entered"
VALUE,Strategic Goals,Q33,d,Market Ranking - Current,Text or Dropdown,"#1, #2, #3-5, #6-10, Outside Top 10",,,,,
VALUE,Strategic Goals,Q33,e,Market Ranking - 2 Years Ago,Text or Dropdown,"#1, #2, #3-5, #6-10, Outside Top 10",,,,,For comparison
VALUE,Strategic Goals,Q33,f,Number of Direct Competitors,Numeric Input,,Number,,,,
VALUE,Strategic Goals,Q33,g,Revenue vs Largest Competitor,Numeric Input,,%,,,,"100% = equal size"
VALUE,Strategic Goals,Q33,h,Growth Rate vs Market Average,Numeric Input,,+/- Percentage Points,,,,
VALUE,Strategic Goals,Q33,i,Price Position vs Competitors,Numeric Input,,+/- %,,,,"Positive = premium"
VALUE,Strategic Goals,Q33,j,Total Addressable Market (TAM),Currency + Numeric,,"Currency Amount",,,,
VALUE,Strategic Goals,Q33,k,Market Growth Rate,Numeric Input,,% per Year,,,,
VALUE,Strategic Goals,Q33,l,Your Growth vs Market Growth,Numeric Input,,+/- Percentage Points,,,,
VALUE,Strategic Goals,Q33,m,Market Share Gain/Loss (Past Year),Numeric Input,,+/- Percentage Points,,,,
VALUE,Strategic Goals,Q33,n,Revenue at Risk from Competitive Pressure,Currency or Numeric,,"Currency or %",Revenue at Risk,,,Financial impact
VALUE,Strategic Goals,Q33,o,Market Share at Risk,Numeric Input,,Percentage Points,,Market Share at Risk,,
VALUE,Strategic Goals,Q33,p,Enterprise Value Impact,Numeric Input,,% of Valuation,,Enterprise Value at Risk,,
VALUE,Strategic Goals,Q34,a,Strategic Investments (M&A/Ventures Count),Numeric Input,,Number,,,,
VALUE,Strategic Goals,Q34,b,Total Amount Invested,Currency + Numeric,,"Currency Amount",,,,
VALUE,Strategic Goals,Q34,c,Successful Investments,Numeric Input,,Number,,,,
VALUE,Strategic Goals,Q34,d,Failed Investments,Numeric Input,,Number,,,,
VALUE,Strategic Goals,Q34,e,Investment Success Rate,Numeric Input,,%,,,,"Calculated or entered"
VALUE,Strategic Goals,Q34,f,Acquisitions (Past 3 Years),Numeric Input,,Number,,,,"If applicable"
VALUE,Strategic Goals,Q34,g,Total Acquisition Value,Currency + Numeric,,"Currency Amount",,,,
VALUE,Strategic Goals,Q34,h,Revenue from Acquisitions,Currency or Numeric,,"Currency or % of Total",,,,
VALUE,Strategic Goals,Q34,i,Synergies Realized vs Planned,Numeric Input,,%,,,,
